Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Tax status,In stock?,Stock,Backorders allowed?,Regular price,Categories,Tags,Meta: _supplier_cost
simple,CD5,CJC-1295 with DAC 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,1299.99,Research Peptides,,130
simple,CGL10,Cagrilintide 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,1449.99,Research Peptides,,145
simple,KP5,KPV 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,449.99,Research Peptides,,45
simple,MS10,MOTS-c 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,599.99,Research Peptides,,60
simple,XA10,Semax 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,699.99,Research Peptides,,70
simple,SK10,Selank 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,699.99,Research Peptides,,70
simple,P41,PT-141 (Bremelanotide) 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,499.99,Research Peptides,,50
simple,ML10,MT-2 (Melanotan II) 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,449.99,Research Peptides,,45
simple,NJ500,NAD+ 500mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,699.99,Research Peptides,,70
simple,NJ1000,NAD+ 1000mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,899.99,Research Peptides,,90
simple,CP10,CJC-1295 + Ipamorelin Blend 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,899.99,Blends,,90
simple,CND5,CJC-1295 no DAC 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,699.99,Research Peptides,,70
simple,TA5,Thymosin Alpha-1 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,849.99,Research Peptides,,85
simple,TA10,Thymosin Alpha-1 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,1,0,1349.99,Research Peptides,,135
simple,DS5,DSIP 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,399.99,Research Peptides,,40
simple,5AD,AOD-9604 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,849.99,Research Peptides,,85
simple,G65,GHRP-6 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,1,0,299.99,Research Peptides,,30
